eta,bound_var_cost
1.000000000000000021e-02, 8.540185260934541293e+04
2.000000000000000042e-02, 2.505225327098612979e+04
2.999999999999999889e-02, 1.212967974051249439e+04
4.000000000000000083e-02, 6.025684673309326172e+03
5.000000000000000278e-02, 5.034585609034487788e+03
5.999999999999999778e-02, 3.814630334245397535e+03
7.000000000000000666e-02, 2.832547463365780459e+03
8.000000000000000167e-02, 2.910319430807362551e+03
8.999999999999999667e-02, 2.006263344984788091e+03
1.000000000000000056e-01, 1.815742962307400148e+03
1.100000000000000006e-01, 1.528552517408735184e+03
1.199999999999999956e-01, 1.290206252011385914e+03
1.300000000000000044e-01, 1.390107770547099562e+03
1.400000000000000133e-01, 1.038624860364337337e+03
1.499999999999999944e-01, 9.701967856463263615e+02
1.600000000000000033e-01, 9.282322256905691802e+02
1.700000000000000122e-01, 8.333978298141295227e+02
1.799999999999999933e-01, 7.961104264608243284e+02
1.900000000000000022e-01, 8.318510925387158750e+02
2.000000000000000111e-01, 6.648287620544433594e+02
2.099999999999999922e-01, 7.633666753165329055e+02
2.200000000000000011e-01, 5.478347815489157711e+02
2.300000000000000100e-01, 5.299025621785746125e+02
2.399999999999999911e-01, 5.030518116198088023e+02
2.500000000000000000e-01, 5.044458516438801894e+02
2.600000000000000089e-01, 4.954542017756281780e+02
2.700000000000000178e-01, 5.070902194192964885e+02
2.800000000000000266e-01, 4.833021649254692989e+02
2.899999999999999800e-01, 4.652307758062657967e+02
2.999999999999999889e-01, 4.921495764596121489e+02
3.099999999999999978e-01, 4.059048706552256931e+02
3.200000000000000067e-01, 3.098119488884420889e+02
3.300000000000000155e-01, 4.610301527051783523e+02
3.400000000000000244e-01, 3.650147392966530333e+02
3.499999999999999778e-01, 3.024393025911771247e+02
3.599999999999999867e-01, 3.192033654451370239e+02
3.699999999999999956e-01, 4.117844891321091154e+02
3.800000000000000044e-01, 2.894202638441516342e+02
3.900000000000000133e-01, 3.045934826585112774e+02
4.000000000000000222e-01, 2.939650497436523438e+02
4.099999999999999756e-01, 2.950958319841805064e+02
4.199999999999999845e-01, 2.895017014207510897e+02
4.299999999999999933e-01, 2.263349269063849079e+02
4.400000000000000022e-01, 2.430650108882359177e+02
4.500000000000000111e-01, 2.688503561886873854e+02
4.600000000000000200e-01, 2.334573996508563027e+02
4.699999999999999734e-01, 2.772100441050979498e+02
4.799999999999999822e-01, 2.796268469003530868e+02
4.899999999999999911e-01, 2.615186978134454421e+02
5.000000000000000000e-01, 2.817092685699462891e+02
5.100000000000000089e-01, 1.937530716876594283e+02
5.200000000000000178e-01, 2.323921391169230048e+02
5.300000000000000266e-01, 2.158558454310640400e+02
5.400000000000000355e-01, 1.981266697593357264e+02
5.500000000000000444e-01, 1.735342373318142393e+02
5.600000000000000533e-01, 1.707497069618918601e+02
5.699999999999999512e-01, 1.565229459806930095e+02
5.799999999999999600e-01, 1.713360754648844306e+02
5.899999999999999689e-01, 1.960245526011397033e+02
5.999999999999999778e-01, 1.558747467994689941e+02
6.099999999999999867e-01, 2.355044850080441279e+02
6.199999999999999956e-01, 1.913846163498728004e+02
6.300000000000000044e-01, 1.888385060284588803e+02
6.400000000000000133e-01, 1.715159030490451357e+02
6.500000000000000222e-01, 2.018335475921630859e+02
6.600000000000000311e-01, 1.396386441623463384e+02
6.700000000000000400e-01, 1.446861174901326592e+02
6.800000000000000488e-01, 1.903819036483764648e+02
6.899999999999999467e-01, 2.101690879329558186e+02
6.999999999999999556e-01, 2.066712042490641181e+02
7.099999999999999645e-01, 1.426427039442391163e+02
7.199999999999999734e-01, 1.786976015908377349e+02
7.299999999999999822e-01, 1.665251257861102090e+02
7.399999999999999911e-01, 1.837009129157433165e+02
7.500000000000000000e-01, 2.612085180282592773e+02
7.600000000000000089e-01, 2.157755970954895020e+02
7.700000000000000178e-01, 1.465344087351923577e+02
7.800000000000000266e-01, 1.872199778123335534e+02
7.900000000000000355e-01, 1.605474605560302734e+02
8.000000000000000444e-01, 1.526434097290039062e+02
8.100000000000000533e-01, 1.715902619612844546e+02
8.199999999999999512e-01, 1.305548671086629042e+02
8.299999999999999600e-01, 2.582969658234540020e+02
8.399999999999999689e-01, 1.788624386787414551e+02
8.499999999999999778e-01, 1.475374339421589980e+02
8.599999999999999867e-01, 1.996976122174943953e+02
8.699999999999999956e-01, 1.639015945287850968e+02
8.800000000000000044e-01, 1.890099849700927734e+02
8.900000000000000133e-01, 1.696545266238126146e+02
9.000000000000000222e-01, 2.137114696502685831e+02
9.100000000000000311e-01, 1.876581021414863244e+02
9.200000000000000400e-01, 2.579235134124756996e+02
9.300000000000000488e-01, 2.949314603805543129e+02
9.399999999999999467e-01, 2.561714045206704213e+02
9.499999999999999556e-01, 3.758995590209958664e+02
9.599999999999999645e-01, 4.880371704101559658e+02
9.699999999999999734e-01, 4.641704324086504130e+02
9.799999999999999822e-01, 7.257243804931634941e+02
9.899999999999999911e-01, 1.334063701629637535e+03
